select,question,options,label,video_path
Daily life - cleaning,"Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to prepare the mop and bucket?","A. put bucket and mop on floor, B. pour water in bucket, C. take bucket, D. pick mop",C. take bucket,./static/Videos/2db7efae-7b79-45f8-a35f-ab903958a9a9_QA-0.mp4
Daily life - commuting,"Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to ride a bicycle and enter the island recreation club?","A. enter island recreation club, B. remove bag from bicycle, C. remove masks from bicycle, D. adjust bicycle",D. adjust bicycle,./static/Videos/ec9fd60f-578b-4e29-b016-b6a424b064f4_QA-3.mp4
Daily life - cooking,"Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to cook carrot?","A. mix carrot, B. move cooking pot, C. put down chopboard and knife, D. pick spoon",C. put down chopboard and knife,./static/Videos/d1d1b6da-e7f8-48e7-9ee4-d8382582695a_QA-19.mp4
Daily life - eating,"Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to eat food at a restaurant?","A. wash hands, B. pay food, C. pick up food tray, D. sit on chair",D. sit on chair,./static/Videos/275ea957-7404-4e86-ae6c-e3e1cb988b37_QA-17.mp4
Daily life - laundry,"Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to remove clothes from the washing machine?","A. open washing machine, B. pick bag, C. put cloths in bag, D. close washing machine",C. put cloths in bag,./static/Videos/f71fb12c-211c-495b-a893-1f73e0538475_QA-0.mp4
Daily life - pet,"Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to pick up dog's waste?","A. pull dog leash, B. cut nylon bag, C. put hand in nylon bag, D. cover waste",B. cut nylon bag,./static/Videos/56200f81-8dd1-4423-9b97-cf5c2e545efa_QA-1.mp4
Daily life - shopping,"Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to shopping for clothes in a supermarket?","A. put shirt on rack, B. pick belt, C. put down shoes, D. wear jacket",A. put shirt on rack,./static/Videos/8672b38a-7682-4244-ad7a-a336c81c2d0e_QA-19.mp4
Hobbies - baking,"Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to bake pastry in the oven and set a stopwatch?","A. attach stopwatch, B. place oven tray, C. operate oven, D. set stopwatch",A. attach stopwatch,./static/Videos/ca6e9ec9-46ac-4a02-8034-7c31157dc52c_QA-2.mp4
Hobbies - crafting,"Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to work on a molded vase?","A. move chisel to left hand, B. pick clay needle tool, C. puncture hole in vase, D. turn potter's wheel",C. puncture hole in vase,./static/Videos/de130a10-2c84-4006-b112-d90c8860804f_QA-52.mp4
Hobbies - decorating,"Considering the progress shown in the video and my current observation in the last frame, what action should I take next in order to fix decoration?","A. cut tape, B. stick decoration, C. pull tape, D. place tape on decoration",D. place tape on decoration,./static/Videos/11b71158-ee80-448c-b02b-2d2b3efc5d17_QA-53.mp4
